0.0000, 181.8996, -0.0627, 1267.2274, 0.0469, 0.4591, -0.0007, 0.0000
1.0000, 181.8996, -0.0627, 1267.2274, 0.0469, 0.4591, -0.0007, 1.0000
1.3667, 183.0616, -0.0626, 1267.2479, 0.0469, 1.2993, -0.0007, 0.0000
1.5000, 184.0636, -0.0626, 1267.2522, 0.0469, 2.0239, -0.0002, 0.0000
1.6333, 185.3670, -0.0626, 1267.2386, 0.0470, 2.9662, -0.0002, 0.0000
1.7333, 186.5339, -0.0623, 1267.2076, 0.0470, 3.8101, -0.0003, 0.0000
1.8333, 187.8531, -0.0627, 1267.1525, 0.0471, 4.7647, -0.0003, 0.0000
1.9333, 189.3117, -0.0622, 1267.0665, 0.0470, 5.8211, -0.0004, 0.0000
2.0000, 190.3545, -0.0623, 1266.9878, 0.0471, 6.5772, -0.0004, 1.0000
2.0667, 191.4478, -0.0623, 1266.8903, 0.0470, 7.3704, -0.0004, 0.0000
2.1333, 192.5846, -0.0623, 1266.7732, 0.0470, 8.1968, -0.0005, 0.0000
2.2000, 193.7588, -0.0626, 1266.6354, 0.0470, 9.0519, -0.0004, 0.0000
2.2667, 194.9644, -0.0626, 1266.4745, 0.0470, 9.9312, -0.0005, 0.0000
2.3333, 196.1934, -0.0623, 1266.2914, 0.0470, 10.8292, -0.0005, 0.0000
2.4000, 197.4378, -0.0622, 1266.0844, 0.0469, 11.7412, -0.0005, 0.0000
2.4667, 198.6898, -0.0622, 1265.8577, 0.0469, 12.6614, -0.0005, 0.0000
2.5333, 199.9423, -0.0626, 1265.6088, 0.0470, 13.5845, -0.0005, 0.0000
2.6000, 201.1864, -0.0621, 1265.3410, 0.0470, 14.5048, -0.0005, 0.0000
2.6667, 202.4155, -0.0621, 1265.0554, 0.0470, 15.4167, -0.0005, 0.0000
2.7333, 203.6213, -0.0623, 1264.7557, 0.0469, 16.3149, -0.0006, 0.0000
2.8000, 204.7964, -0.0626, 1264.4439, 0.0470, 17.1941, -0.0006, 0.0000
2.8667, 205.9351, -0.0626, 1264.1237, 0.0470, 18.0492, -0.0006, 0.0000
2.9333, 207.0306, -0.0620, 1263.7975, 0.0469, 18.8756, -0.0006, 0.0000
3.0000, 208.0773, -0.0623, 1263.4702, 0.0470, 19.6688, -0.0006, 1.0000
3.1000, 209.5468, -0.0621, 1262.9831, 0.0470, 20.7878, -0.0006, 0.0000
3.2000, 210.8823, -0.0620, 1262.5134, 0.0470, 21.8114, -0.0005, 0.0000
3.3000, 212.0728, -0.0620, 1262.0707, 0.0470, 22.7299, -0.0005, 0.0000
3.4000, 213.1110, -0.0621, 1261.6668, 0.0470, 23.5354, -0.0005, 0.0000
3.5333, 214.2505, -0.0626, 1261.2042, 0.0470, 24.4240, -0.0005, 0.0000
3.7000, 215.2709, -0.0626, 1260.7732, 0.0469, 25.2252, -0.0006, 0.0000
4.7000, 215.9830, -0.0626, 1260.4625, 0.0470, 25.7867, -0.0006, 1.7000
5.5667, 213.5036, -0.0623, 1261.5101, 0.0470, 23.8408, -0.0006, 0.0000
5.8333, 210.6287, -0.0622, 1262.6050, 0.0470, 21.6167, -0.0006, 1.1333
6.0667, 207.3174, -0.0626, 1263.7093, 0.0470, 19.0927, -0.0005, 0.0000
6.3000, 203.4396, -0.0626, 1264.8027, 0.0470, 16.1795, -0.0005, 0.0000
6.5667, 198.6440, -0.0623, 1265.8665, 0.0469, 12.6274, -0.0005, 0.0000
7.0000, 191.1861, -0.0622, 1266.9148, 0.0470, 7.1807, -0.0004, 1.1667
8.0000, 182.9999, -0.0626, 1267.2472, 0.0468, 1.2548, -0.0007, 1.0000
9.0000, 182.9999, -0.0626, 1267.2472, 0.0468, 1.2548, -0.0007, 1.0000
